state_name,growth_pct
Montana,57.43
Florida,53.58
Georgia,51.54
North Carolina,51.22
Maine,51.02
Idaho,49.68
Tennessee,49.57
Arizona,49.33
South Carolina,47.36
Kansas,46.77
New Hampshire,46.01
Oklahoma,43.58
Utah,43.05
Vermont,43.0
New Mexico,42.03
Missouri,40.7
Texas,40.65
South Dakota,40.26
Indiana,40.21
Alabama,38.35
Washington,37.03
Arkansas,36.5
Kentucky,36.39
Ohio,36.33
Rhode Island,35.85
Delaware,35.61
Hawaii,35.53
Michigan,34.69
Connecticut,34.27
Nebraska,34.21
Nevada,33.06
New Jersey,33.01
Colorado,32.73
Oregon,32.56
Pennsylvania,32.5
West Virginia,31.83
Wisconsin,31.78
California,31.48
Iowa,31.4
Virginia,30.14
Wyoming,29.94
Massachusetts,29.83
Illinois,29.08
Mississippi,28.75
New York,27.9
Minnesota,27.44
Maryland,24.75
North Dakota,18.16
Louisiana,14.9
Alaska,13.8
District of Columbia,8.33
