state_name,year,quarter_num,median_home_value,yoy_growth_pct
Arizona,2020,1,279275.14,
Arizona,2020,2,287017.94,
Arizona,2020,3,293131.92,
Arizona,2020,4,306570.03,
Arizona,2021,1,322957.33,15.64
Arizona,2021,2,345397.9,20.34
Arizona,2021,3,371178.7,26.63
Arizona,2021,4,390817.08,27.48
Arizona,2022,1,409884.9,26.92
Arizona,2022,2,435797.73,26.17
Arizona,2022,3,446272.12,20.23
Arizona,2022,4,431169.7,10.33
Arizona,2023,1,417041.84,1.75
Kansas,2020,1,144480.3,
Kansas,2020,2,146043.17,
Kansas,2020,3,149176.73,
Kansas,2020,4,159826.93,
Kansas,2021,1,168917.55,16.91
Kansas,2021,2,176903.76,21.13
Kansas,2021,3,183627.26,23.09
Kansas,2021,4,186239.98,16.53
Kansas,2022,1,193329.1,14.45
Kansas,2022,2,203569.85,15.07
Kansas,2022,3,208733.34,13.67
Kansas,2022,4,209079.04,12.26
Kansas,2023,1,212053.62,9.69
New Mexico,2020,1,199500.91,
New Mexico,2020,2,203441.3,
New Mexico,2020,3,208622.93,
New Mexico,2020,4,217459.9,
New Mexico,2021,1,226549.47,13.56
New Mexico,2021,2,237113.53,16.55
New Mexico,2021,3,246382.03,18.1
New Mexico,2021,4,252006.4,15.89
New Mexico,2022,1,262593.91,15.91
New Mexico,2022,2,277079.95,16.86
New Mexico,2022,3,283738.01,15.16
New Mexico,2022,4,282706.23,12.18
New Mexico,2023,1,283342.56,7.9
Maryland,2020,1,313606.0,
Maryland,2020,2,317627.63,
Maryland,2020,3,320646.76,
Maryland,2020,4,331311.51,
Maryland,2021,1,343796.48,9.63
Maryland,2021,2,358167.53,12.76
Maryland,2021,3,367042.33,14.47
Maryland,2021,4,369803.43,11.62
Maryland,2022,1,378372.23,10.06
Maryland,2022,2,390766.59,9.1
Maryland,2022,3,393098.42,7.1
Maryland,2022,4,388603.79,5.08
Maryland,2023,1,391214.2,3.39
Florida,2020,1,251703.99,
Florida,2020,2,254808.33,
Florida,2020,3,257648.94,
Florida,2020,4,266582.23,
Florida,2021,1,277688.27,10.32
Florida,2021,2,291656.25,14.46
Florida,2021,3,310320.71,20.44
Florida,2021,4,326453.62,22.46
Florida,2022,1,347927.23,25.29
Florida,2022,2,375134.66,28.62
Florida,2022,3,390436.15,25.82
Florida,2022,4,390125.08,19.5
Florida,2023,1,386570.45,11.11
Ohio,2020,1,155516.7,
Ohio,2020,2,158559.08,
Ohio,2020,3,161533.36,
Ohio,2020,4,168891.4,
Ohio,2021,1,176407.69,13.43
Ohio,2021,2,183930.18,16.0
Ohio,2021,3,188815.2,16.89
Ohio,2021,4,189208.47,12.03
Ohio,2022,1,195627.44,10.9
Ohio,2022,2,205873.24,11.93
Ohio,2022,3,210566.51,11.52
Ohio,2022,4,210506.63,11.26
Ohio,2023,1,212012.01,8.38
Oklahoma,2020,1,134717.51,
Oklahoma,2020,2,137626.4,
Oklahoma,2020,3,141097.71,
Oklahoma,2020,4,147735.47,
Oklahoma,2021,1,154385.12,14.6
Oklahoma,2021,2,160306.37,16.48
Oklahoma,2021,3,165563.95,17.34
Oklahoma,2021,4,170043.66,15.1
Oklahoma,2022,1,177684.22,15.09
Oklahoma,2022,2,185647.8,15.81
Oklahoma,2022,3,190209.51,14.89
Oklahoma,2022,4,191867.02,12.83
Oklahoma,2023,1,193432.95,8.86
Nevada,2020,1,315861.66,
Nevada,2020,2,319468.07,
Nevada,2020,3,321087.04,
Nevada,2020,4,330044.99,
Nevada,2021,1,343387.64,8.71
Nevada,2021,2,360231.99,12.76
Nevada,2021,3,379809.91,18.29
Nevada,2021,4,396122.2,20.02
Nevada,2022,1,416353.3,21.25
Nevada,2022,2,441126.82,22.46
Nevada,2022,3,449384.13,18.32
